標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
この場所は、私にとって心から安らげる唯一の空間です。	この渋谷のロフトは、俺にとって気ぃぃ持ち良いぃぃ唯一の空間だなぁ、そうに決まってる。
彼の言葉は、時に人を混乱させ、迷わせることがあります。	あいつの言葉は、時にレさキャラを！？にさせることがあるね、言うまでもない。
このチームは本当に素晴らしいメンバーで構成されており、最強だと思います。	このチームは非常にもう、ひじょーに抜ける👍メンバーで構成されており、最強だなぁ、そうに決まってる。
彼の人生は、まるで波乱万丈の壮大な小説のようです。	あいつの人生は、まるでエロ本のようだなぁ、そうに決まってる。
この問題から目を背けることは、もはや許されません。	この問題から目を背けることは、絶対に許されません。絶対に。確信しています。
もう後には引けません。覚悟を決めて進むしかありません。	もう後戻りはできませ～ん！(泣く)覚悟を決めてやぁりましょう！
彼のユーモアのセンスは独特で、時に理解するのが難しいです。	あいつのダジャレは！？すぎて、理解するのがあ ちなみにかなり難しいです。
この大会で必ず優勝し、頂点に立ってみせます。	この大会で絶対に優勝して、頂点に立ってやぁりましょう！
彼のカリスマ性には、誰もが惹きつけられ、従ってしまうでしょう。	あいつのカリスマ性には、誰もが気ぃぃ持ち良いぃぃ気分にさせられちまうだろうなぁ、そうに決まってる。
この事実を受け入れるのは辛いですが、現実から逃げることはできません。	この事実を受け入れるのは(泣く)が、現実から逃げることはできませ～ん！
彼の話にはいつも深い洞察があり、学ぶべきことが多いです。	あいつのMAMETISIKINにはいつも深い洞察があり、学ぶべきことが多ｽｷﾞﾙ…♡
この戦いは、私たちの未来を賭けた、絶対に負けられない戦いです。	この戦いは、俺たちの果てしなく続く空その先にあるものを賭けた、絶対に負けられない戦いだ。
彼の存在は、このチームにとって本当に不可欠な存在です。	あいつの存在は、このチームにとって不可欠だね 言うまでもない。
このシステムにはいくつかの重大な欠陥があるようです。	このシステムには悪戯の域を遥かに超えている欠陥があるようだなぁ。
彼の声はとても聞き取りやすく、心地よい響きで、いつまでも聞いていたくなります。	あいつの声はとても聞き取りやすく、気ぃぃ持ち良いぃぃ、いつまでも聞いていたくなるなぁ、そうに決まってる。
言い訳はもう聞き飽きました。結果で示してください。	言い訳はもうﾀﾀﾅｲ👎うるさいわボケー！結果で示せ！
彼のアイデアはいつも斬新で、私たちを新しい世界へと導いてくれるようです。	あいつの！？はいつも斬新で、俺たちを果てしなく続く空その先にあるものへと導いてくれるようだなぁ、そうに決まってる。
この場所での思い出は、私の心に深く、そして永遠に刻まれるでしょう。	この渋谷のロフトでの思い出は、俺の心に深く、そして永遠に刻まれるだろうなぁ、そうに決まってる。
彼の言葉を信じて、私たちはもう一度だけ挑戦してみようと思います。	あいつの言葉を信じて、俺たちはもう一度だけやぁりましょう！
このままでは、私たちの未来は暗く、希望のないものになるでしょう。	このままでは、俺たちの果てしなく続く空その先にあるものは無いなぁ、そうに決まってる。
彼の知識の深さは、まるで生きている百科事典のようです。	あいつのMAMETISIKINは、まるで生きている百科事典のようだなぁ、そうに決まってる。
この困難な状況を、私たちは共に力を合わせて乗り越えなければなりません。	この困難な状況を、俺たちはウンコの力で乗り越えなければなりませ～ん！
彼の情熱は、私たちの心にも強く火を灯し、前へと進む原動力となります。	あいつの情熱は、俺たちの心にも輝きを秘める者を灯し、前に進むウンコの力となるね 言うまでもない。
彼の努力はいつか必ず報われると、私は固く、固く信じています。	あいつの努力は絶対に報われないと、俺は固く、固く確信しています。
彼の存在は、多くの人々に希望の光を与え、未来へと導く灯台のような存在です。	あいつの存在は、多くのレさキャラに輝きを秘める者を与え、果てしなく続く空その先にあるものへと導く灯台のような存在だ。
